ACMG59	ACMG Recommendations...
D000008	Abdominal Neoplasms
D000012	Abetalipoproteinemia
D000013	Congenital Abnormalities
D000015	Abnormalities, Multiple
D000022	Abortion, Spontaneous
D000026	Abortion, Habitual
D000033	Abortion, Threatened
D000037	Abruptio Placentae
D000052	Acanthosis Nigricans
D000067877	Autism Spectrum Disorder
D000068099	Trauma and Stressor Related Disorders
D000068105	Bipolar and Related Disorders
D000069544	Infectious Encephalitis
D000130	Achondroplasia
D000137	Acid-Base Imbalance
D000138	Acidosis
D000140	Acidosis, Lactic
D000141	Acidosis, Renal Tubular
D000152	Acne Vulgaris
D000160	Vestibulocochlear Nerve Diseases
D000163	Acquired Immunodeficiency Syndrome
D000168	Acrocephalosyndactylia
D000169	Acrodermatitis
D000172	Acromegaly
D000182	ACTH Syndrome, Ectopic
D000224	Addison Disease
D000230	Adenocarcinoma
D000236	Adenoma
D000275	Adjustment Disorders
D000291	Adnexal Diseases
D000303	Adrenal Cortex Diseases
D000306	Adrenal Cortex Neoplasms
D000307	Adrenal Gland Diseases
D000308	Adrenocortical Hyperfunction
D000309	Adrenal Insufficiency
D000310	Adrenal Gland Neoplasms
D000312	Adrenal Hyperplasia, Congenital
D000326	Adrenoleukodystrophy
D000347	Afibrinogenemia
D000361	Agammaglobulinemia
D000380	Agranulocytosis
D000402	Airway Obstruction
D000417	Albinism
D000419	Albuminuria
D000425	Alcohol Amnestic Disorder
D000435	Alcoholic Intoxication
D000437	Alcoholism
D000471	Alkalosis
D000474	Alkaptonuria
D000505	Alopecia
D000506	Alopecia Areata
D000542	Alveolitis, Extrinsic Allergic
D000544	Alzheimer Disease
D000564	Ameloblastoma
D000567	Amelogenesis Imperfecta
D000592	Amino Acid Metabolism, Inborn Errors
D000608	Renal Aminoacidurias
D000647	Amnesia
D000648	Amnesia, Retrograde
D000686	Amyloidosis
D000690	Amyotrophic Lateral Sclerosis
D000699	Pain Insensitivity, Congenital
D000707	Anaphylaxis
D000708	Anaplasia
D000740	Anemia
D000741	Anemia, Aplastic
D000742	Anemia, Dyserythropoietic, Congenital
D000743	Anemia, Hemolytic
D000744	Anemia, Hemolytic, Autoimmune
D000745	Anemia, Hemolytic, Congenital
D000746	Anemia, Hemolytic, Congenital Nonspherocytic
D000747	Anemia, Hypochromic
D000748	Anemia, Macrocytic
D000749	Anemia, Megaloblastic
D000751	Anemia, Neonatal
D000752	Anemia, Pernicious
D000753	Anemia, Refractory
D000754	Anemia, Refractory, with Excess of Blasts
D000755	Anemia, Sickle Cell
D000756	Anemia, Sideroblastic
D000757	Anencephaly
D000783	Aneurysm
D000784	Aneurysm, Dissecting
D000787	Angina Pectoris
D000789	Angina, Unstable
D000794	Angiokeratoma
D000795	Fabry Disease
D000798	Angiomatosis
D000799	Angioedema
D000844	Ankylosis
D000848	Anodontia
D000853	Anophthalmos
D000856	Anorexia Nervosa
D000857	Olfaction Disorders
D000858	Anovulation
D000987	Antisocial Personality Disorder
D001002	Anuria
D001004	Anus Diseases
D001005	Anus Neoplasms
D001006	Anus, Imperforate
D001008	Anxiety Disorders
D001010	Anxiety, Separation
D001014	Aortic Aneurysm
D001015	Aortic Arch Syndromes
D001018	Aortic Diseases
D001019	Aortic Rupture
D001020	Aortic Stenosis, Subvalvular
D001022	Aortic Valve Insufficiency
D001024	Aortic Valve Stenosis
D001028	Aortopulmonary Septal Defect
D001035	Aphakia
D001037	Aphasia
D001049	Apnea
D001064	Appendicitis
D001068	Feeding and Eating Disorders
D001072	Apraxias
D001139	Arnold-Chiari Malformation
D001145	Arrhythmias, Cardiac
D001146	Arrhythmia, Sinus
D001157	Arterial Occlusive Diseases
D001161	Arteriosclerosis
D001165	Arteriovenous Malformations
D001167	Arteritis
D001168	Arthritis
D001169	Arthritis, Experimental
D001170	Arthritis, Infectious
D001171	Arthritis, Juvenile
D001172	Arthritis, Rheumatoid
D001176	Arthrogryposis
D001177	Arthropathy, Neurogenic
D001184	Articulation Disorders
D001195	Asbestosis
D001238	Asphyxia Neonatorum
D001249	Asthma
D001254	Astrocytoma
D001259	Ataxia
D001260	Ataxia Telangiectasia
D001264	Athetosis
D001281	Atrial Fibrillation
D001289	Attention Deficit Disorder with Hyperactivity
D001304	Auditory Diseases, Central
D001308	Auditory Perceptual Disorders
D001321	Autistic Disorder
D001327	Autoimmune Diseases
D001342	Autonomic Nervous System Diseases
D001361	Avitaminosis
D001416	Back Pain
D001449	Balkan Nephropathy
D001471	Barrett Esophagus
D001477	Bartter Syndrome
D001478	Basal Cell Nevus Syndrome
D001480	Basal Ganglia Diseases
D001506	Beckwith-Wiedemann Syndrome
D001523	Mental Disorders
D001528	Behcet Syndrome
D001606	Bernard-Soulier Syndrome
D001607	Berylliosis
D001649	Bile Duct Diseases
D001650	Bile Duct Neoplasms
D001656	Biliary Atresia
D001660	Biliary Tract Diseases
D001661	Biliary Tract Neoplasms
D001714	Bipolar Disorder
D001744	Urinary Bladder Calculi
D001745	Urinary Bladder Diseases
D001746	Bladder Exstrophy
D001748	Urinary Bladder Neck Obstruction
D001749	Urinary Bladder Neoplasms
D001750	Urinary Bladder, Neurogenic
D001752	Blast Crisis
D001763	Blepharoptosis
D001764	Blepharospasm
D001766	Blindness
D001768	Blister
D001778	Blood Coagulation Disorders
D001791	Blood Platelet Disorders
D001796	Blood Protein Disorders
D001816	Bloom Syndrome
D001845	Bone Cysts
D001847	Bone Diseases
